array_index,u_k_lambda,v_k_lambda
0,-0.018500,0.023897
0,-0.018514,0.023886
0,-0.018528,0.023875
0,-0.018541,0.023865
0,-0.018555,0.023854
0,-0.018569,0.023843
0,-0.018583,0.023833
0,-0.018597,0.023822
0,-0.018610,0.023811
0,-0.018624,0.023801
0,-0.018638,0.023790
0,-0.018652,0.023779
0,-0.018665,0.023768
0,-0.018679,0.023758
0,-0.018693,0.023747
0,-0.018706,0.023736
0,-0.018720,0.023725
0,-0.018734,0.023714
0,-0.018747,0.023704
0,-0.018761,0.023693
0,-0.018775,0.023682
0,-0.018788,0.023671
0,-0.018802,0.023660
0,-0.018815,0.023650
0,-0.018829,0.023639
0,-0.018843,0.023628
0,-0.018856,0.023617
0,-0.018870,0.023606
0,-0.018883,0.023595
0,-0.018897,0.023585
0,-0.018910,0.023574
0,-0.018924,0.023563
0,-0.018937,0.023552
0,-0.046173,-0.054072
0,-0.046142,-0.054099
0,-0.046111,-0.054126
0,-0.046080,-0.054152
0,-0.046049,-0.054179
0,-0.046018,-0.054205
0,-0.045986,-0.054232
0,-0.045955,-0.054258
0,-0.045924,-0.054284
0,-0.045893,-0.054311
0,-0.045862,-0.054337
0,-0.045830,-0.054364
0,-0.045799,-0.054390
0,-0.045768,-0.054416
0,-0.045736,-0.054443
0,-0.045705,-0.054469
0,-0.045674,-0.054495
0,-0.045642,-0.054522
0,-0.045611,-0.054548
0,-0.045579,-0.054574
0,-0.045548,-0.054600
0,-0.045516,-0.054627
0,-0.045485,-0.054653
0,-0.045453,-0.054679
0,-0.045422,-0.054705
0,-0.045390,-0.054731
0,-0.045359,-0.054757
0,-0.045327,-0.054784
0,-0.045295,-0.054810
0,-0.045264,-0.054836
0,-0.045232,-0.054862
0,-0.045200,-0.054888
0,-0.045168,-0.054914
0,-0.045136,-0.054940
0,-0.045105,-0.054966
0,-0.045073,-0.054992
0,-0.045041,-0.055018
0,-0.045009,-0.055044
0,-0.044977,-0.055070
0,-0.044945,-0.055095
0,-0.044913,-0.055121
0,-0.044881,-0.055147
0,-0.044849,-0.055173
0,-0.044817,-0.055199
0,-0.057437,0.034942
0,-0.057458,0.034909
0,-0.057478,0.034876
0,-0.057498,0.034843
0,-0.057519,0.034810
0,-0.057539,0.034777
0,-0.057559,0.034744
0,-0.057579,0.034710
0,-0.057600,0.034677
0,-0.057620,0.034644
0,-0.057640,0.034611
0,-0.057660,0.034578
0,-0.057680,0.034544
0,-0.057700,0.034511
0,-0.057720,0.034478
0,-0.057740,0.034445
0,-0.057760,0.034412
0,-0.057780,0.034378
0,-0.057800,0.034345
0,-0.057819,0.034312
0,-0.057839,0.034278
0,-0.057859,0.034245
0,-0.057879,0.034212
0,-0.057899,0.034179
0,-0.057918,0.034145
0,-0.057938,0.034112
0,-0.057958,0.034078
0,-0.057977,0.034045
0,-0.057997,0.034012
0,-0.058016,0.033978
0,-0.058036,0.033945
0,-0.058055,0.033911
0,-0.058075,0.033878
0,-0.058094,0.033845
0,-0.058113,0.033811
0,-0.058133,0.033778
0,-0.058152,0.033744
0,-0.058171,0.033711
0,-0.058191,0.033677
0,-0.058210,0.033644
0,-0.058229,0.033610
0,-0.058248,0.033577
0,-0.058267,0.033543
0,-0.058286,0.033510
0,0.018444,0.006825
0,0.018440,0.006836
0,0.018436,0.006846
0,0.018432,0.006857
0,0.018428,0.006867
0,0.018424,0.006878
0,0.018420,0.006889
0,0.018416,0.006899
0,0.018412,0.006910
0,0.018408,0.006920
0,0.018404,0.006931
0,0.018400,0.006942
0,0.018397,0.006952
0,0.018393,0.006963
0,0.018389,0.006973
0,0.018385,0.006984
0,0.018381,0.006995
0,0.018376,0.007005
0,0.018372,0.007016
0,0.018368,0.007026
0,0.018364,0.007037
0,0.018360,0.007047
0,0.018356,0.007058
0,0.018352,0.007069
0,0.018348,0.007079
0,0.018344,0.007090
0,0.018340,0.007100
0,0.018336,0.007111
0,0.018332,0.007121
0,0.018327,0.007132
0,0.018323,0.007143
0,0.018319,0.007153
0,0.018315,0.007164
0,0.018311,0.007174
0,0.018307,0.007185
0,0.018302,0.007195
0,0.018298,0.007206
0,0.018294,0.007216
0,0.018290,0.007227
0,0.018286,0.007237
0,0.018281,0.007248
0,0.018277,0.007258
0,0.018273,0.007269
0,0.018269,0.007279
0,-0.054395,0.050279
0,-0.054424,0.050248
0,-0.054454,0.050217
0,-0.054483,0.050185
0,-0.054512,0.050154
0,-0.054541,0.050123
0,-0.054570,0.050091
0,-0.054599,0.050060
0,-0.054628,0.050028
0,-0.054657,0.049997
0,-0.054686,0.049965
0,-0.054715,0.049934
0,-0.054744,0.049902
0,-0.054773,0.049871
0,-0.054802,0.049839
0,-0.054831,0.049808
0,-0.054859,0.049776
0,-0.054888,0.049745
0,-0.054917,0.049713
0,-0.054946,0.049681
0,-0.054974,0.049650
0,-0.055003,0.049618
0,-0.055031,0.049586
0,-0.055060,0.049555
0,-0.055089,0.049523
0,-0.055117,0.049491
0,-0.055146,0.049460
0,-0.055174,0.049428
0,-0.055203,0.049396
0,-0.055231,0.049364
0,-0.055259,0.049332
0,-0.055288,0.049301
0,-0.055316,0.049269
0,-0.055344,0.049237
0,-0.055373,0.049205
0,-0.055401,0.049173
0,-0.055429,0.049141
0,-0.055457,0.049109
0,-0.055485,0.049077
0,-0.055513,0.049045
0,-0.055542,0.049013
0,-0.055570,0.048981
0,-0.055598,0.048949
0,-0.055626,0.048917
0,-0.053158,0.006254
0,-0.053162,0.006224
0,-0.053166,0.006193
0,-0.053169,0.006162
0,-0.053173,0.006132
0,-0.053177,0.006101
0,-0.053181,0.006071
0,-0.053184,0.006040
0,-0.053188,0.006009
0,-0.053191,0.005979
0,-0.053195,0.005948
0,-0.053199,0.005918
0,-0.053202,0.005887
0,-0.053206,0.005856
0,-0.053209,0.005826
0,-0.053212,0.005795
0,-0.053216,0.005764
0,-0.053219,0.005734
0,-0.053223,0.005703
0,-0.053226,0.005672
0,-0.053229,0.005642
0,-0.053232,0.005611
0,-0.053236,0.005580
0,-0.053239,0.005550
0,-0.053242,0.005519
0,-0.053245,0.005489
0,-0.053248,0.005458
