array_index,u_k_lambda,v_k_lambda
0,0.001453,0.003202
0,0.001451,0.003203
0,0.001450,0.003204
0,0.001448,0.003205
0,0.001446,0.003206
0,0.001444,0.003207
0,0.001442,0.003207
0,0.003896,0.000478
0,0.003896,0.000481
0,0.003895,0.000483
0,0.003895,0.000485
0,0.003895,0.000487
0,0.003895,0.000490
0,0.003894,0.000492
0,0.003894,0.000494
0,0.003894,0.000496
0,0.003894,0.000499
0,0.003893,0.000501
0,0.003893,0.000503
0,0.003893,0.000505
0,0.003892,0.000507
0,0.003892,0.000510
0,0.003892,0.000512
0,0.003892,0.000514
0,0.003891,0.000516
0,0.003891,0.000519
0,0.003891,0.000521
0,0.003890,0.000523
0,0.003890,0.000525
0,0.003890,0.000528
0,0.003889,0.000530
0,0.003889,0.000532
0,0.003889,0.000534
0,0.003888,0.000537
0,0.003888,0.000539
0,0.003888,0.000541
0,0.003888,0.000543
0,0.003887,0.000546
0,0.003887,0.000548
0,0.003887,0.000550
0,0.003886,0.000552
0,0.003886,0.000554
0,0.003886,0.000557
0,0.003885,0.000559
0,0.003885,0.000561
0,0.003885,0.000563
0,0.003884,0.000566
0,0.003884,0.000568
0,0.003884,0.000570
0,0.003883,0.000572
0,0.003883,0.000575
0,-0.000277,0.000885
0,-0.000278,0.000885
0,-0.000278,0.000884
0,-0.000279,0.000884
0,-0.000279,0.000884
0,-0.000280,0.000884
0,-0.000280,0.000884
0,-0.000281,0.000884
0,-0.000281,0.000883
0,-0.000282,0.000883
0,-0.000282,0.000883
0,-0.000283,0.000883
0,-0.000283,0.000883
0,-0.000284,0.000883
0,-0.000284,0.000882
0,-0.000285,0.000882
0,-0.000285,0.000882
0,-0.000286,0.000882
0,-0.000286,0.000882
0,-0.000287,0.000882
0,-0.000287,0.000881
0,-0.000288,0.000881
0,-0.000288,0.000881
0,-0.000289,0.000881
0,-0.000289,0.000881
0,-0.000290,0.000881
0,-0.000290,0.000880
0,-0.000291,0.000880
0,-0.000291,0.000880
0,-0.000292,0.000880
0,-0.000292,0.000880
0,-0.000293,0.000880
0,-0.000293,0.000879
0,-0.000294,0.000879
0,-0.000294,0.000879
0,-0.000295,0.000879
0,-0.000295,0.000879
0,-0.000296,0.000879
0,-0.000296,0.000878
0,-0.000297,0.000878
0,-0.000297,0.000878
0,-0.000298,0.000878
0,-0.000298,0.000878
0,-0.000299,0.000878
0,-0.000900,-0.001142
0,-0.000899,-0.001143
0,-0.000898,-0.001143
0,-0.000898,-0.001144
0,-0.000897,-0.001144
0,-0.000896,-0.001145
0,-0.000896,-0.001145
0,-0.000895,-0.001146
0,-0.000894,-0.001146
0,-0.000894,-0.001147
0,-0.000893,-0.001147
0,-0.000892,-0.001148
0,-0.000892,-0.001148
0,-0.000891,-0.001149
0,-0.000890,-0.001149
0,-0.000890,-0.001150
0,-0.000889,-0.001150
0,-0.000888,-0.001151
0,-0.000888,-0.001151
0,-0.000887,-0.001152
0,-0.000886,-0.001152
0,-0.000886,-0.001153
0,-0.000885,-0.001153
0,-0.000884,-0.001154
0,-0.000884,-0.001154
0,-0.000883,-0.001155
0,-0.000882,-0.001155
0,-0.000882,-0.001156
0,-0.000881,-0.001156
0,-0.000880,-0.001157
0,-0.000880,-0.001158
0,-0.000879,-0.001158
0,-0.000878,-0.001159
0,-0.000878,-0.001159
0,-0.000877,-0.001160
0,-0.000876,-0.001160
0,-0.000876,-0.001161
0,-0.000875,-0.001161
0,-0.000874,-0.001162
0,-0.000874,-0.001162
0,-0.000873,-0.001163
0,-0.000872,-0.001163
0,-0.000872,-0.001164
0,-0.000871,-0.001164
0,-0.002306,-0.000848
0,-0.002306,-0.000849
0,-0.002306,-0.000850
0,-0.002305,-0.000852
0,-0.002305,-0.000853
0,-0.002304,-0.000854
0,-0.002304,-0.000856
0,-0.002303,-0.000857
0,-0.002303,-0.000858
0,-0.002302,-0.000860
0,-0.002302,-0.000861
0,-0.002301,-0.000862
0,-0.002301,-0.000864
0,-0.002300,-0.000865
0,-0.002300,-0.000866
0,-0.002299,-0.000868
0,-0.002299,-0.000869
0,-0.002298,-0.000870
0,-0.002298,-0.000872
0,-0.002297,-0.000873
0,-0.002297,-0.000874
0,-0.002296,-0.000875
0,-0.002296,-0.000877
0,-0.002295,-0.000878
0,-0.002295,-0.000879
0,-0.002294,-0.000881
0,-0.002294,-0.000882
0,-0.002293,-0.000883
0,-0.002293,-0.000885
0,-0.002292,-0.000886
0,-0.002292,-0.000887
0,-0.002291,-0.000889
0,-0.002291,-0.000890
0,-0.002290,-0.000891
0,-0.002289,-0.000893
0,-0.002289,-0.000894
0,-0.002288,-0.000895
0,-0.002288,-0.000897
0,-0.002287,-0.000898
0,-0.002287,-0.000899
0,-0.002286,-0.000901
0,-0.002286,-0.000902
0,-0.002285,-0.000903
0,-0.002285,-0.000904
0,-0.002824,0.002340
0,-0.002825,0.002339
0,-0.002827,0.002337
0,-0.002828,0.002335
0,-0.002829,0.002334
0,-0.002831,0.002332
0,-0.002832,0.002330
0,-0.002833,0.002329
0,-0.002835,0.002327
0,-0.002836,0.002326
0,-0.002837,0.002324
0,-0.002839,0.002322
0,-0.002840,0.002321
0,-0.002841,0.002319
0,-0.002843,0.002317
0,-0.002844,0.002316
0,-0.002845,0.002314
0,-0.002847,0.002312
0,-0.002848,0.002311
0,-0.002849,0.002309
0,-0.002851,0.002308
0,-0.002852,0.002306
0,-0.002853,0.002304
0,-0.002855,0.002303
0,-0.002856,0.002301
0,-0.002857,0.002299
0,-0.002859,0.002298
0,-0.002860,0.002296
0,-0.002861,0.002294
0,-0.002863,0.002293
0,-0.002864,0.002291
0,-0.002865,0.002289
0,-0.002867,0.002288
0,-0.002868,0.002286
0,-0.002869,0.002284
0,-0.002871,0.002283
0,-0.002872,0.002281
0,-0.002873,0.002280
0,-0.002875,0.002278
0,-0.002876,0.002276
0,-0.002877,0.002275
0,-0.002878,0.002273
0,-0.002880,0.002271
0,-0.002881,0.002270
0,0.000634,0.002069
0,0.000633,0.002069
0,0.000631,0.002070
0,0.000630,0.002070
0,0.000629,0.002071
0,0.000628,0.002071
0,0.000627,0.002071
0,0.000625,0.002072
0,0.000624,0.002072
0,0.000623,0.002072
0,0.000622,0.002073
0,0.000621,0.002073
0,0.000619,0.002073
0,0.000618,0.002074
0,0.000617,0.002074
0,0.000616,0.002075
0,0.000615,0.002075
0,0.000613,0.002075
0,0.000612,0.002076
0,0.000611,0.002076
0,0.000610,0.002076
0,0.000609,0.002077
0,0.000607,0.002077
0,0.000606,0.002077
0,0.000605,0.002078
0,0.000604,0.002078
0,0.000603,0.002078
0,0.000601,0.002079
0,0.000600,0.002079
0,0.000599,0.002079
0,0.000598,0.002080
0,0.000597,0.002080
0,0.000595,0.002080
0,0.000594,0.002081
0,0.000593,0.002081
0,0.000592,0.002081
0,0.000591,0.002082
0,0.000589,0.002082
0,0.000588,0.002082
0,0.000587,0.002083
0,0.000586,0.002083
0,0.000585,0.002084
0,0.000583,0.002084
0,0.000582,0.002084
0,-0.001517,0.003076
0,-0.001519,0.003075
0,-0.001521,0.003074
0,-0.001523,0.003073
0,-0.001524,0.003072
0,-0.001526,0.003071
0,-0.001528,0.003070
0,-0.001530,0.003070
0,-0.001532,0.003069
0,-0.001533,0.003068
0,-0.001535,0.003067
0,-0.001537,0.003066
0,-0.001539,0.003065
0,-0.001540,0.003064
0,-0.001542,0.003063
0,-0.001544,0.003062
0,-0.001546,0.003062
0,-0.001548,0.003061
0,-0.001549,0.003060
0,-0.001551,0.003059
0,-0.001553,0.003058
0,-0.001555,0.003057
0,-0.001556,0.003056
0,-0.001558,0.003055
0,-0.001560,0.003054
0,-0.001562,0.003053
0,-0.001563,0.003053
0,-0.001565,0.003052
0,-0.001567,0.003051
0,-0.001569,0.003050
0,-0.001570,0.003049
0,-0.001572,0.003048
0,-0.001574,0.003047
0,-0.001576,0.003046
0,-0.001577,0.003045
0,-0.001579,0.003044
0,-0.001581,0.003044
0,-0.001583,0.003043
0,-0.001584,0.003042
0,-0.001586,0.003041
0,-0.001588,0.003040
0,-0.001590,0.003039
0,-0.001591,0.003038
0,-0.001593,0.003037
0,0.000857,0.000383
0,0.000857,0.000384
0,0.000857,0.000384
0,0.000857,0.000385
0,0.000856,0.000385
0,0.000856,0.000386
0,0.000856,0.000386
0,0.000856,0.000387
0,0.000856,0.000387
0,0.000855,0.000388
0,0.000855,0.000388
0,0.000855,0.000389
0,0.000855,0.000389
0,0.000854,0.000390
0,0.000854,0.000390
0,0.000854,0.000391
0,0.000854,0.000391
0,0.000854,0.000392
0,0.000853,0.000392
0,0.000853,0.000393
0,0.000853,0.000393
0,0.000853,0.000394
0,0.000852,0.000394
0,0.000852,0.000395
0,0.000852,0.000395
0,0.000852,0.000396
0,0.000852,0.000396
0,0.000851,0.000397
0,0.000851,0.000397
0,0.000851,0.000397
0,0.000851,0.000398
0,0.000850,0.000398
0,0.000850,0.000399
0,0.000850,0.000399
0,0.000850,0.000400
0,0.000849,0.000400
0,0.000849,0.000401
0,0.000849,0.000401
0,0.000849,0.000402
0,0.000849,0.000402
0,0.000848,0.000403
0,0.000848,0.000403
0,0.000848,0.000404
0,0.000848,0.000404
0,-0.003316,0.000790
0,-0.003316,0.000788
0,-0.003317,0.000786
0,-0.003317,0.000784
0,-0.003318,0.000782
0,-0.003318,0.000780
0,-0.003318,0.000778
0,-0.003319,0.000776
0,-0.003319,0.000774
0,-0.003320,0.000772
0,-0.003320,0.000771
0,-0.003321,0.000769
0,-0.003321,0.000767
0,-0.003322,0.000765
0,-0.003322,0.000763
0,-0.003323,0.000761
0,-0.003323,0.000759
0,-0.003323,0.000757
0,-0.003324,0.000755
0,-0.003324,0.000753
0,-0.003325,0.000751
0,-0.003325,0.000749
0,-0.003326,0.000748
0,-0.003326,0.000746
0,-0.003326,0.000744
0,-0.003327,0.000742
0,-0.003327,0.000740
0,-0.003328,0.000738
0,-0.003328,0.000736
0,-0.003329,0.000734
0,-0.003329,0.000732
0,-0.003329,0.000730
0,-0.003330,0.000728
0,-0.003330,0.000726
0,-0.003331,0.000725
0,-0.003331,0.000723
0,-0.003331,0.000721
0,-0.003332,0.000719
0,-0.003332,0.000717
0,-0.003333,0.000715
0,-0.003333,0.000713
0,-0.003333,0.000711
0,-0.003334,0.000709
0,-0.003334,0.000707
0,-0.001407,0.000294
0,-0.001407,0.000294
0,-0.001407,0.000293
0,-0.001407,0.000292
0,-0.001408,0.000291
0,-0.001408,0.000290
0,-0.001408,0.000290
0,-0.001408,0.000289
0,-0.001408,0.000288
0,-0.001408,0.000287
0,-0.001409,0.000286
0,-0.001409,0.000286
0,-0.001409,0.000285
0,-0.001409,0.000284
0,-0.001409,0.000283
0,-0.001409,0.000282
0,-0.001410,0.000282
0,-0.001410,0.000281
0,-0.001410,0.000280
0,-0.001410,0.000279
0,-0.001410,0.000278
0,-0.001410,0.000277
0,-0.001410,0.000277
0,-0.001411,0.000276
0,-0.001411,0.000275
0,-0.001411,0.000274
0,-0.001411,0.000273
0,-0.001411,0.000273
0,-0.001411,0.000272
0,-0.001412,0.000271
0,-0.001412,0.000270
0,-0.001412,0.000269
0,-0.001412,0.000269
0,-0.001412,0.000268
0,-0.001412,0.000267
0,-0.001413,0.000266
0,-0.001413,0.000265
0,-0.001413,0.000264
0,-0.001413,0.000264
0,-0.001413,0.000263
0,-0.001413,0.000262
0,-0.001413,0.000261
0,-0.001414,0.000260
0,-0.001414,0.000260
0,-0.001924,0.003482
0,-0.001926,0.003481
0,-0.001928,0.003480
0,-0.001930,0.003479
0,-0.001932,0.003478
0,-0.001934,0.003477
0,-0.001936,0.003476
0,-0.001938,0.003475
0,-0.001940,0.003473
0,-0.001942,0.003472
0,-0.001944,0.003471
0,-0.001946,0.003470
0,-0.001948,0.003469
0,-0.001950,0.003468
0,-0.001952,0.003467
0,-0.001954,0.003466
0,-0.001956,0.003464
0,-0.001958,0.003463
0,-0.001960,0.003462
0,-0.001962,0.003461
0,-0.001964,0.003460
0,-0.001966,0.003459
0,-0.001968,0.003458
0,-0.001970,0.003457
0,-0.001972,0.003455
0,-0.001974,0.003454
0,-0.001976,0.003453
0,-0.001978,0.003452
0,-0.001980,0.003451
0,-0.001982,0.003450
0,-0.001984,0.003449
0,-0.001986,0.003447
0,-0.001988,0.003446
0,-0.001990,0.003445
0,-0.001992,0.003444
0,-0.001994,0.003443
0,-0.001996,0.003442
0,-0.001998,0.003441
0,-0.002000,0.003439
0,-0.002002,0.003438
0,-0.002004,0.003437
0,-0.002006,0.003436
0,-0.002008,0.003435
0,-0.002010,0.003434
0,0.001533,0.003211
0,0.001532,0.003212
0,0.001530,0.003213
0,0.001528,0.003214
0,0.001526,0.003215
0,0.001524,0.003216
0,0.001522,0.003217
0,0.001520,0.003217
0,0.001519,0.003218
0,0.001517,0.003219
0,0.001515,0.003220
0,0.001513,0.003221
0,0.001511,0.003222
0,0.001509,0.003223
0,0.001508,0.003224
0,0.001506,0.003224
0,0.001504,0.003225
0,0.001502,0.003226
0,0.001500,0.003227
0,0.001498,0.003228
0,0.001496,0.003229
0,0.001494,0.003230
0,0.001493,0.003230
0,0.001491,0.003231
0,0.001489,0.003232
0,0.001487,0.003233
0,0.001485,0.003234
0,0.001483,0.003235
0,0.001481,0.003236
0,0.001480,0.003236
0,0.001478,0.003237
0,0.001476,0.003238
0,0.001474,0.003239
0,0.001472,0.003240
0,0.001470,0.003241
0,0.001468,0.003242
0,0.001466,0.003242
0,0.001465,0.003243
0,0.001463,0.003244
0,0.001461,0.003245
0,0.001459,0.003246
0,0.001457,0.003247
0,0.001455,0.003247
0,0.001453,0.003248
0,-0.000618,0.004218
0,-0.000620,0.004217
0,-0.000623,0.004217
0,-0.000625,0.004217
